--- 01-RETAIL.csv ---

Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Variety,,,2019,2020,,"% Change 4th  week September 2020, compared to:",,,,
Sinhala Name,,Common Name,4th week September,3rd week September,4th week September,Last week ,Last Year,,,
,,,,,,,,,,ඇටිස්සා (ලොකු),750.0,,ඇටිස්සා (ලොකු),720,726.6666666666666
,,,,,,,,,,ඇටිස්සා (කුඩා),493.3333333333333,,ඇටිස්සා (කුඩා),500,560
,,,,,,,,,,හබරලි (රවුම්),466.6666666666667,,හබරලි (රවුම්),552.5,591.4285714285714
,,,,,,,,,,හබරලි (පටි),370.0,,හබරලි (පටි),625,400
,,,,,,,,,,ජීලා (ලොකු),650.0,,ජීලා (ලොකු),516.6666666666666,700
,,,,,,,,,,ජීලා (මධ්‍යම),566.6666666666666,,ජීලා (මධ්‍යම),400,410
,,,,,,,,,,ජීලා (කුඩා),328.3333333333333,,ජීලා (කුඩා),375,400
,,,,,,,,,,අලගොඩුවා (ලොකු),284.0,,අලගොඩුවා (ලොකු),320,415
,,,,,,,,,,අලගොඩුවා (මධ්‍යම),238.0,,අලගොඩුවා (මධ්‍යම),0,0
,,,,,,,,,,අලගොඩුවා (කුඩා),215.0,,අලගොඩුවා (කුඩා),330,400
,,,,,,,,,,ඇටවල්ලා (ලොකු),390.0,,ඇටවල්ලා (ලොකු),410,423.3333333333333
,,,,,,,,,,ඇටවල්ලා(මධ්‍යම),363.3333333333333,,ඇටවල්ලා(මධ්‍යම),400,400
,,,,,,,,,,ඇටවල්ලා (කුඩා),290.0,,ඇටවල්ලා (කුඩා),340,390
,,,,,,,,,,පියාමැස්සා (ලොකු),245.0,,පියාමැස්සා (ලොකු),320,0
,,,,,,,,,,පියාමැස්සා (මධ්‍යම),216.25,,පියාමැස්සා (මධ්‍යම),0,220
,,,,,,,,,,පියාමැස්සා (කුඩා),,,පියාමැස්සා (කුඩා),0,0
,,,,,,,,,,හුරුල්ලා,284.0,,හුරුල්ලා,374,388.3333333333333
,,,,,,,,,,ගල් හුරුල්ලා,358.0,,ගල් හුරුල්ලා,380,400
,,,,,,,,,,සාලයා(යක්),176.66666666666666,,සාලයා(යක්),166.66666666666666,122.5
,,,,,,,,,,සාලයා(මට්ට),221.66666666666666,,සාලයා(මට්ට),185,187.14285714285714
,,,,,,,,,,හාල්මැස්සා,312.0,,හාල්මැස්සා,0,412.5
,,,,,,,,,,සප්පරා (ශුද්ධ),491.6666666666667,,සප්පරා (ශුද්ධ),512.5,542
,,,,,,,,,,වන්නා,332.0,,වන්නා,350,337.5
,,,,,,,,,,දැල්ලා(පිලී),824.1666666666666,,දැල්ලා(පිලී),737.5,736.4285714285714
,,,,,,,,,,දැල්ලා(ගෙබි),,,දැල්ලා(ගෙබි),635,650
,,,,,,,,,,දැල්ලා(කුඩා),347.5,,දැල්ලා(කුඩා),454,571.6666666666666
,,,,,,,,,,දැල්ලා (ශුද්ධ),,,දැල්ලා (ශුද්ධ),975,790
,,,,,,,,,,ඉස්සා (ලොකු),1183.3333333333333,,ඉස්සා (ලොකු),1150,1164.2857142857142
,,,,,,,,,,ඉස්සා (මධ්‍යම),1000.0,,ඉස්සා (මධ්‍යම),987.5,1033.3333333333333
,,,,,,,,,,ඉස්සා (කුඩා),590.8333333333334,,ඉස්සා (කුඩා),664.2857142857143,671.4285714285714
,,,,,,,,,,සවරා,1130.0,,සවරා,888.3333333333334,937.5
,,,,,,,,,,මොරැල්ලා,350.0,,මොරැල්ලා,316,387.5
,,,,,,,,,,ලින්නා (ලොකු),285.8333333333333,,ලින්නා (ලොකු),265,275
,,,,,,,,,,ලින්නා (කුඩා),,,ලින්නා (කුඩා),0,0
,,,,,,,,,,සුද්දා,493.3333333333333,,සුද්දා,429.1666666666667,396.6666666666667
,,,,,,,,,,මුහුදු කකුළුවා (ලොකු),525.0,,මුහුදු කකුළුවා (ලොකු),675,705
,,,,,,,,,,මුහුදු කකුළුවා (මධ්‍යම),512.5,,මුහුදු කකුළුවා (මධ්‍යම),0,0
,,,,,,,,,,මුහුදු කකුළුවා (කුඩා),,,මුහුදු කකුළුවා (කුඩා),380,0
,,,,,,,,,,ලේන පරව්,312.5,,ලේන පරව්,365,350.8333333333333
,,,,,,,,,,වව්වාලයා (ලොකු),,,වව්වාලයා (ලොකු),0,525
,,,,,,,,,,වව්වාලයා (කුඩා),,,වව්වාලයා (කුඩා),0,0
,,,,,,,,,,ලෝමැස්සා (ලොකු),550.0,,ලෝමැස්සා (ලොකු),487,544
,,,,,,,,,,ලෝමැස්සා (මධ්‍යම),450.0,,ලෝමැස්සා (මධ්‍යම),400,425
,,,,,,,,,,ලෝමැස්සා (කුඩා),350.0,,ලෝමැස්සා (කුඩා),0,0
,,,,,,,,,,ගින්නටි පරව්,562.0,,ගින්නටි පරව්,626,697.1428571428571
,,,,,,,,,,කටුවල්ලා (ලොකු),180.0,,කටුවල්ලා (ලොකු),0,0
,,,,,,,,,,කටුවල්ලා (මධ්‍යම),,,කටුවල්ලා (මධ්‍යම),0,0
,,,,,,,,,,කටුවල්ලා (කුඩා),,,කටුවල්ලා (කුඩා),0,0
,,,,,,,,,,අගයා,345.0,,අගයා,400,421.6666666666667
,,,,,,,,,,ගොඩයා (කුඩා),200.0,,ගොඩයා (කුඩා),0,0
,,,,,,,,,,ගොඩයා (ලොකු),285.0,,ගොඩයා (ලොකු),360,0
,,,,,,,,,,කලන්දා,,,කලන්දා,0,0
,,,,,,,,,,සූඩයා,150.0,,සූඩයා,124,138.33333333333334
,,,,,,,,,,සිලින්දා,550.0,,සිලින්දා,0,0
,,,,,,,,,,කාරල්ලා,158.0,,කාරල්ලා,146.66666666666666,152.5
,,,,,,,,,,මාළු බිත්තර,,,මාළු බිත්තර,0,0
,,,,,,,,,,තිලාපියා (කුඩා),,,තිලාපියා (කුඩා),0,0
,,,,,,,,,,තිලාපියා (මධ්‍යම),350.0,,තිලාපියා (මධ්‍යම),312.5,350
,,,,,,,,,,තිලාපියා (ලොකු),382.5,,තිලාපියා (ලොකු),395,426.6666666666667
,,,,,,,,,,වෙල්ල සූඩයා,,,වෙල්ල සූඩයා,252.5,0
,,,,,,,,,,තොණ්ඩයා,270.0,,තොණ්ඩයා,0,170
,,,,,,,,,,පොතුබරි,166.66666666666666,,පොතුබරි,193.33333333333334,175
,,,,,,,,,,මෝදා,480.0,,මෝදා,750,713.3333333333334
,,,,,,,,,,කිරලාවා,324.0,,කිරලාවා,0,0
,,,,,,,,,,මඩුවා (ලොකු),312.5,,මඩුවා (ලොකු),326.6666666666667,344
,,,,,,,,,,මඩුවා (මධ්‍යම),308.3333333333333,,මඩුවා (මධ්‍යම),310,350
,,,,,,,,,,මඩුවා (කුඩා),,,මඩුවා (කුඩා),0,250
,,,,,,,,,,පානතඹුවා,462.5,,පානතඹුවා,0,0
,,,,,,,,,,ශුද්ධ කොයි,152.5,,ශුද්ධ කොයි,0,120
,,,,,,,,,,කුම්බලාවා,483.3333333333333,,කුම්බලාවා,381.6666666666667,471.42857142857144
,,,,,,,,,,බෝල්ලා,408.3333333333333,,බෝල්ලා,346.6666666666667,392.85714285714283
,,,,,,,,,,හැඩැල්ලා,654.1666666666666,,හැඩැල්ලා,983.3333333333334,971.4285714285714
,,,,,,,,,,සුරා පරව්,407.0,,සුරා පරව්,404,460
,,,,,,,,,,සුරා පරව් (S),200.0,,සුරා පරව් (S),250,0
,,,,,,,,,,දිවුලා,,,දිවුලා,0,0
,,,,,,,,,,හිරි කනයා,,,,0,0
,,,,,,,,,,ලූලා,416.6666666666667,,,0,0
,,,,,,,,,,බයිටා,205.0,,,330,0
,,,,,,,,,,අංජිලා ,,,,,
,,,,,,,,,,මූදිල්ලා,,,,,
